,Estado,Situação Sensitária,Acesso a internet em casa,Acesso através de 3g ou 4g
65421,31,8,2.0,Sim
65424,31,8,2.0,Não
65425,31,8,2.0,Sim
65429,31,8,2.0,Sim
65430,31,8,2.0,Sim
65431,31,8,2.0,Sim
65435,31,1,2.0,Sim
65439,31,1,2.0,Não
65440,31,1,2.0,Não
65445,31,1,2.0,Não
65446,31,1,2.0,Não
65450,31,1,2.0,Sim
65454,31,1,2.0,Sim
65457,31,1,2.0,Não
65459,31,1,2.0,Sim
65461,31,1,2.0,Sim
65462,31,1,2.0,Sim
65463,31,1,2.0,Sim
65466,31,1,2.0,Sim
65467,31,1,2.0,Sim
65468,31,1,2.0,Não
65470,31,1,2.0,Sim
65471,31,1,2.0,Sim
65473,31,1,2.0,Sim
65474,31,1,2.0,Sim
65476,31,1,2.0,Sim
65478,31,1,2.0,Não
65479,31,1,2.0,Sim
65481,31,1,2.0,Sim
65482,31,1,2.0,Sim
65483,31,1,2.0,Sim
65486,31,1,2.0,Não
65487,31,1,2.0,Não
65491,31,1,2.0,Não
65492,31,1,2.0,Não
65493,31,1,2.0,Não
65496,31,1,2.0,Não
65497,31,1,2.0,Não
65498,31,1,2.0,Não
65499,31,1,2.0,Não
65502,31,1,2.0,Não
65503,31,1,2.0,Não
65504,31,1,2.0,Não
65505,31,1,2.0,Não
65506,31,1,2.0,Não
65507,31,1,2.0,Não
65508,31,1,2.0,Não
65510,31,1,2.0,Não
65511,31,1,2.0,Sim
65513,31,1,2.0,Sim
65514,31,1,2.0,Sim
65516,31,1,2.0,Sim
65517,31,1,2.0,Sim
65518,31,1,2.0,Não
65521,31,1,2.0,Sim
65522,31,1,2.0,Sim
65524,31,1,2.0,Não
65525,31,1,2.0,Não
65526,31,1,2.0,Não
65527,31,1,2.0,Não
65529,31,1,2.0,Sim
65533,31,1,2.0,Sim
65541,31,1,2.0,Sim
65544,31,1,2.0,Sim
65550,31,1,2.0,Sim
65552,31,1,2.0,Não
65554,31,1,2.0,Não
65558,31,1,2.0,Sim
65559,31,1,2.0,Sim
65560,31,1,2.0,Sim
65561,31,1,2.0,Sim
65564,31,1,2.0,Sim
65565,31,1,2.0,Não
65568,31,1,2.0,Sim
65569,31,1,2.0,Sim
65570,31,1,2.0,Sim
65571,31,1,2.0,Sim
65578,31,1,2.0,Não
65579,31,1,2.0,Sim
65582,31,1,2.0,Não
65583,31,1,2.0,Sim
65584,31,1,2.0,Não
65585,31,1,2.0,Sim
65587,31,1,2.0,Não
65588,31,1,2.0,Não
65593,31,1,2.0,Sim
65598,31,1,2.0,Sim
65599,31,1,2.0,Sim
65600,31,1,2.0,Sim
65601,31,1,2.0,Sim
65602,31,1,2.0,Sim
65603,31,1,2.0,Sim
65604,31,1,2.0,Sim
65605,31,1,2.0,Sim
65606,31,1,2.0,Sim
65610,31,1,2.0,Sim
65612,31,1,2.0,Sim
65613,31,1,2.0,Sim
65615,31,1,2.0,Sim
65616,31,1,2.0,Sim
65617,31,1,2.0,Sim
65620,31,1,2.0,Sim
65624,31,1,2.0,Não
65626,31,1,2.0,Não
65629,31,1,2.0,Sim
65630,31,1,2.0,Sim
65631,31,1,2.0,Sim
65632,31,1,2.0,Sim
65634,31,1,2.0,Sim
65635,31,1,2.0,Sim
65636,31,1,2.0,Sim
65638,31,1,2.0,Sim
65639,31,1,2.0,Sim
65641,31,1,2.0,Não
65642,31,1,2.0,Sim
65643,31,1,2.0,Sim
65644,31,1,2.0,Não
65646,31,1,2.0,Sim
65647,31,1,2.0,Sim
65649,31,1,2.0,Sim
65650,31,1,2.0,Sim
65651,31,1,2.0,Sim
65652,31,1,2.0,Sim
65653,31,1,2.0,Sim
65654,31,1,2.0,Sim
65655,31,1,2.0,Sim
65657,31,1,2.0,Sim
65659,31,1,2.0,Sim
65660,31,1,2.0,Sim
65661,31,1,2.0,Sim
65662,31,1,2.0,Não
65663,31,1,2.0,Não
65666,31,1,2.0,Sim
65667,31,1,2.0,Sim
65668,31,1,2.0,Não
65669,31,1,2.0,Sim
65671,31,1,2.0,Sim
65672,31,1,2.0,Não
65673,31,1,2.0,Sim
65674,31,1,2.0,Sim
65675,31,1,2.0,Sim
65676,31,1,2.0,Sim
65677,31,1,2.0,Não
65678,31,1,2.0,Não
65679,31,1,2.0,Não
65681,31,1,2.0,Não
65682,31,1,2.0,Não
65683,31,1,2.0,Não
65685,31,1,2.0,Não
65686,31,1,2.0,Sim
65687,31,1,2.0,Não
65688,31,1,2.0,Sim
65690,31,1,2.0,Sim
65691,31,1,2.0,Sim
65692,31,1,2.0,Sim
65693,31,1,2.0,Sim
65694,31,1,2.0,Não
65696,31,1,2.0,Sim
65697,31,1,2.0,Sim
65698,31,1,2.0,Sim
65699,31,1,2.0,Não
65700,31,1,2.0,Sim
65702,31,1,2.0,Não
65703,31,1,2.0,Sim
65705,31,1,2.0,Sim
65707,31,1,2.0,Sim
65708,31,1,2.0,Não
65710,31,1,2.0,Sim
65712,31,1,2.0,Sim
65713,31,1,2.0,Sim
65715,31,1,2.0,Sim
65716,31,1,2.0,Sim
65718,31,1,2.0,Sim
65719,31,1,2.0,Sim
65720,31,1,2.0,Sim
65721,31,1,2.0,Sim
65722,31,1,2.0,Sim
65723,31,1,2.0,Sim
65724,31,1,2.0,Sim
65726,31,1,2.0,Sim
65727,31,1,2.0,Sim
65728,31,1,2.0,Sim
65729,31,1,2.0,Sim
65730,31,1,2.0,Sim
65731,31,1,2.0,Não
65732,31,1,2.0,Sim
65733,31,1,2.0,Sim
65734,31,1,2.0,Não
65736,31,1,2.0,Sim
65739,31,1,2.0,Não
65741,31,1,2.0,Sim
65742,31,1,2.0,Sim
65743,31,1,2.0,Sim
65744,31,1,2.0,Sim
65746,31,1,2.0,Sim
65747,31,1,2.0,Não
65748,31,1,2.0,Sim
65749,31,1,2.0,Sim
65750,31,1,2.0,Não
65751,31,1,2.0,Sim
65752,31,1,2.0,Não
65753,31,1,2.0,Sim
65754,31,1,2.0,Não
65755,31,1,2.0,Não
65756,31,1,2.0,Sim
65757,31,1,2.0,Não
65760,31,1,2.0,Não
65763,31,1,2.0,Sim
65764,31,1,2.0,Sim
65766,31,1,2.0,Sim
65767,31,1,2.0,Não
65768,31,1,2.0,Sim
65771,31,1,2.0,Não
65772,31,1,2.0,Sim
65774,31,1,2.0,Sim
65776,31,1,2.0,Sim
65778,31,1,2.0,Sim
65779,31,1,2.0,Sim
65780,31,1,2.0,Sim
65781,31,1,2.0,Não
65782,31,1,2.0,Sim
65783,31,1,2.0,Sim
65786,31,1,2.0,Não
65787,31,1,2.0,Sim
65788,31,1,2.0,Sim
65790,31,1,2.0,Sim
65791,31,1,2.0,Sim
65792,31,1,2.0,Sim
65793,31,1,2.0,Sim
65794,31,1,2.0,Sim
65796,31,1,2.0,Sim
65798,31,1,2.0,Sim
65799,31,1,2.0,Não
65800,31,1,2.0,Não
