,Estado,Situação Sensitária,Acesso a internet em casa,Acesso através de 3g ou 4g
78210,31,1,2.0,Sim
78211,31,1,2.0,Não
78215,31,1,2.0,Não
78216,31,1,2.0,Sim
78217,31,1,2.0,Não
78218,31,1,2.0,Não
78221,31,1,2.0,Não
78223,31,1,2.0,Não
78224,31,1,2.0,Não
78225,31,1,2.0,Não
78226,31,1,2.0,Não
78228,31,1,2.0,Não
78230,31,1,2.0,Não
78231,31,1,2.0,Sim
78232,31,1,2.0,Não
78233,31,1,2.0,Sim
78235,31,1,2.0,Sim
78236,31,1,2.0,Sim
78237,31,1,2.0,Não
78239,31,1,2.0,Sim
78241,31,1,2.0,Não
78242,31,1,2.0,Não
78243,31,1,2.0,Sim
78244,31,1,2.0,Não
78245,31,1,2.0,Não
78246,31,1,2.0,Não
78248,31,1,2.0,Sim
78249,31,1,2.0,Não
78250,31,1,2.0,Não
78251,31,1,2.0,Não
78252,31,1,2.0,Não
78253,31,1,2.0,Não
78254,31,1,2.0,Sim
78255,31,1,2.0,Não
78259,31,1,2.0,Não
78261,31,1,2.0,Sim
78262,31,1,2.0,Não
78263,31,1,2.0,Não
78264,31,1,2.0,Não
78265,31,1,2.0,Não
78266,31,1,2.0,Sim
78268,31,1,2.0,Sim
78269,31,1,2.0,Não
78271,31,1,2.0,Não
78272,31,1,2.0,Não
78273,31,1,2.0,Não
78274,31,1,2.0,Não
78275,31,1,2.0,Não
78277,31,1,2.0,Não
78278,31,1,2.0,Não
78280,31,1,2.0,Não
78281,31,1,2.0,Não
78282,31,1,2.0,Não
78284,31,1,2.0,Não
78285,31,1,2.0,Não
78286,31,1,2.0,Não
78287,31,1,2.0,Sim
78288,31,1,2.0,Sim
78289,31,1,2.0,Sim
78290,31,1,2.0,Sim
78292,31,1,2.0,Não
78293,31,1,2.0,Não
78294,31,1,2.0,Não
78295,31,1,2.0,Não
78296,31,1,2.0,Não
78297,31,1,2.0,Não
78298,31,1,2.0,Não
78299,31,1,2.0,Não
78300,31,1,2.0,Não
78302,31,1,2.0,Sim
78304,31,1,2.0,Não
78305,31,1,2.0,Sim
78306,31,1,2.0,Não
78307,31,1,2.0,Não
78308,31,1,2.0,Não
78309,31,1,2.0,Não
78314,31,1,2.0,Sim
78315,31,1,2.0,Sim
78318,31,1,2.0,Não
78319,31,1,2.0,Sim
78321,31,1,2.0,Não
78322,31,1,2.0,Não
78323,31,1,2.0,Não
78324,31,1,2.0,Não
78325,31,1,2.0,Não
78326,31,1,2.0,Sim
78327,31,1,2.0,Não
78330,31,1,2.0,Não
78332,31,1,2.0,Sim
78333,31,1,2.0,Não
78334,31,1,2.0,Não
78335,31,1,2.0,Não
78336,31,1,2.0,Não
78337,31,1,2.0,Não
78338,31,1,2.0,Não
78339,31,1,2.0,Não
78341,31,1,2.0,Não
78342,31,1,2.0,Sim
78343,31,1,2.0,Não
78345,31,1,2.0,Não
78346,31,1,2.0,Não
78347,31,1,2.0,Não
78348,31,1,2.0,Não
78349,31,1,2.0,Não
78350,31,1,2.0,Não
78351,31,1,2.0,Não
78352,31,1,2.0,Não
78353,31,1,2.0,Não
78354,31,1,2.0,Não
78356,31,1,2.0,Não
78357,31,1,2.0,Não
78358,31,1,2.0,Não
78359,31,1,2.0,Sim
78360,31,1,2.0,Não
78361,31,1,2.0,Não
78362,31,1,2.0,Não
78363,31,1,2.0,Não
78364,31,1,2.0,Sim
78365,31,1,2.0,Sim
78366,31,1,2.0,Não
78367,31,1,2.0,Não
78368,31,1,2.0,Sim
78369,31,1,2.0,Sim
78370,31,1,2.0,Sim
78371,31,1,2.0,Sim
78372,31,1,2.0,Não
78379,31,8,2.0,Não
78389,31,8,2.0,Sim
78395,31,1,2.0,Não
78396,31,1,2.0,Não
78397,31,1,2.0,Não
78398,31,1,2.0,Não
78399,31,1,2.0,Sim
78400,31,1,2.0,Não
78401,31,1,2.0,Sim
78402,31,1,2.0,Sim
78403,31,1,2.0,Não
78405,31,1,2.0,Não
78406,31,1,2.0,Não
78407,31,1,2.0,Não
78408,31,1,2.0,Não
78409,31,1,2.0,Não
78410,31,1,2.0,Não
78411,31,1,2.0,Sim
78412,31,1,2.0,Sim
78414,31,1,2.0,Sim
78415,31,1,2.0,Não
78416,31,1,2.0,Sim
78417,31,1,2.0,Sim
78418,31,1,2.0,Não
78419,31,1,2.0,Sim
78420,31,1,2.0,Sim
78421,31,1,2.0,Sim
78422,31,1,2.0,Sim
78423,31,1,2.0,Sim
78424,31,1,2.0,Sim
78427,31,1,2.0,Não
78428,31,1,2.0,Sim
78429,31,1,2.0,Sim
78430,31,1,2.0,Sim
78432,31,1,2.0,Sim
78433,31,1,2.0,Sim
78435,31,1,2.0,Sim
78437,31,1,2.0,Sim
78438,31,1,2.0,Sim
78440,31,1,2.0,Sim
78442,31,1,2.0,Não
78443,31,1,2.0,Sim
78448,31,1,2.0,Sim
78450,31,1,2.0,Sim
78451,31,1,2.0,Não
78453,31,1,2.0,Não
78454,31,1,2.0,Sim
78455,31,1,2.0,Não
78457,31,1,2.0,Sim
78459,31,1,2.0,Sim
78460,31,1,2.0,Não
78461,31,1,2.0,Não
78464,31,1,2.0,Sim
78465,31,1,2.0,Sim
78467,31,1,2.0,Sim
78468,31,1,2.0,Sim
78469,31,1,2.0,Sim
78470,31,1,2.0,Sim
78471,31,1,2.0,Sim
78473,31,1,2.0,Sim
78474,31,1,2.0,Sim
78476,31,8,2.0,Sim
78478,31,8,2.0,Sim
78482,31,8,2.0,Sim
78484,31,8,2.0,Sim
78495,31,8,2.0,Não
78501,31,1,2.0,Sim
78502,31,1,2.0,Não
78505,31,1,2.0,Sim
78506,31,1,2.0,Sim
78507,31,1,2.0,Sim
78508,31,1,2.0,Sim
78511,31,1,2.0,Sim
78512,31,1,2.0,Sim
78513,31,1,2.0,Sim
78515,31,1,2.0,Sim
78516,31,1,2.0,Sim
78517,31,1,2.0,Sim
78519,31,1,2.0,Sim
78520,31,1,2.0,Sim
78522,31,1,2.0,Sim
78525,31,1,2.0,Sim
78526,31,1,2.0,Sim
78527,31,1,2.0,Sim
78529,31,1,2.0,Sim
78530,31,1,2.0,Sim
78531,31,1,2.0,Sim
78534,31,1,2.0,Sim
78535,31,1,2.0,Não
78538,31,1,2.0,Sim
78543,31,1,2.0,Sim
78545,31,1,2.0,Sim
78546,31,1,2.0,Sim
78547,31,1,2.0,Sim
78548,31,1,2.0,Sim
78549,31,1,2.0,Sim
78550,31,1,2.0,Sim
78552,31,1,2.0,Sim
78553,31,1,2.0,Não
78554,31,1,2.0,Sim
78556,31,1,2.0,Sim
78559,31,1,2.0,Sim
78560,31,1,2.0,Sim
78562,31,1,2.0,Sim
78563,31,1,2.0,Sim
78569,31,1,2.0,Sim
78575,31,1,2.0,Sim
78577,31,1,2.0,Sim
78579,31,1,2.0,Sim
78581,31,1,2.0,Sim
78582,31,1,2.0,Sim
78583,31,1,2.0,Sim
78585,31,1,2.0,Sim
78592,31,1,2.0,Sim
78599,31,1,2.0,Sim
78607,31,1,2.0,Sim
78610,31,1,2.0,Sim
78613,31,1,2.0,Sim
78616,31,1,2.0,Não
78617,31,1,2.0,Não
78620,31,1,2.0,Sim
78621,31,1,2.0,Não
78622,31,1,2.0,Sim
78629,31,1,2.0,Sim
78630,31,1,2.0,Não
78631,31,1,2.0,Sim
78638,31,1,2.0,Sim
78639,31,1,2.0,Sim
78653,31,1,2.0,Sim
78654,31,1,2.0,Sim
78656,31,1,2.0,Não
78657,31,1,2.0,Não
78658,31,1,2.0,Não
78659,31,1,2.0,Sim
78662,31,2,2.0,Sim
78663,31,2,2.0,Sim
78665,31,2,2.0,Não
78670,31,2,2.0,Sim
78671,31,2,2.0,Sim
78673,31,2,2.0,Sim
78677,31,1,2.0,Não
78679,31,1,2.0,Sim
78691,31,1,2.0,Sim
78693,31,1,2.0,Não
78694,31,1,2.0,Não
78696,31,1,2.0,Não
78697,31,1,2.0,Não
78701,31,1,2.0,Não
78704,31,1,2.0,Não
78706,31,1,2.0,Não
78710,31,1,2.0,Não
78713,31,1,2.0,Não
78714,31,1,2.0,Sim
78716,31,1,2.0,Sim
78717,31,1,2.0,Sim
78718,31,1,2.0,Sim
78720,31,1,2.0,Sim
78721,31,1,2.0,Sim
78727,31,1,2.0,Sim
78728,31,1,2.0,Sim
78731,31,1,2.0,Não
78732,31,1,2.0,Sim
78734,31,1,2.0,Não
78735,31,1,2.0,Não
78736,31,1,2.0,Não
78737,31,1,2.0,Não
78738,31,1,2.0,Não
78739,31,1,2.0,Não
78740,31,1,2.0,Sim
78742,31,1,2.0,Não
78743,31,1,2.0,Sim
78745,31,1,2.0,Sim
78748,31,1,2.0,Não
78753,31,1,2.0,Sim
78755,31,1,2.0,Sim
78763,31,1,2.0,Sim
78764,31,1,2.0,Sim
78765,31,1,2.0,Sim
78766,31,1,2.0,Sim
78768,31,1,2.0,Sim
78769,31,1,2.0,Sim
78770,31,1,2.0,Sim
78771,31,1,2.0,Não
78772,31,1,2.0,Não
78773,31,1,2.0,Não
78775,31,1,2.0,Não
78777,31,1,2.0,Sim
78778,31,1,2.0,Sim
78779,31,1,2.0,Sim
78780,31,1,2.0,Sim
78782,31,1,2.0,Sim
78784,31,1,2.0,Sim
78785,31,1,2.0,Sim
78788,31,1,2.0,Sim
78791,31,1,2.0,Sim
78792,31,1,2.0,Sim
78793,31,1,2.0,Sim
78798,31,1,2.0,Sim
78799,31,1,2.0,Sim
78800,31,1,2.0,Sim
78801,31,1,2.0,Sim
78802,31,1,2.0,Sim
78806,31,1,2.0,Sim
78807,31,1,2.0,Sim
78810,31,1,2.0,Sim
78811,31,1,2.0,Sim
78814,31,1,2.0,Sim
78816,31,1,2.0,Sim
78817,31,1,2.0,Não
78830,31,8,2.0,Não
78838,31,1,2.0,Sim
78840,31,1,2.0,Sim
78843,31,1,2.0,Sim
78845,31,1,2.0,Sim
78848,31,1,2.0,Sim
78856,32,1,2.0,Sim
78857,32,1,2.0,Sim
78858,32,1,2.0,Sim
78860,32,1,2.0,Sim
78863,32,1,2.0,Sim
78865,32,1,2.0,Sim
78870,32,1,2.0,Sim
78871,32,1,2.0,Sim
78874,32,1,2.0,Sim
78876,32,1,2.0,Sim
78878,32,1,2.0,Sim
78879,32,1,2.0,Sim
78882,32,1,2.0,Sim
78884,32,8,2.0,Sim
78889,32,8,2.0,Sim
78891,32,8,2.0,Sim
78899,32,1,2.0,Sim
78903,32,1,2.0,Sim
78910,32,1,2.0,Sim
78911,32,1,2.0,Sim
78912,32,1,2.0,Sim
78927,32,8,2.0,Sim
78929,32,1,2.0,Sim
78930,32,1,2.0,Sim
78932,32,1,2.0,Sim
78933,32,1,2.0,Sim
78934,32,1,2.0,Sim
78935,32,1,2.0,Sim
78937,32,1,2.0,Sim
78938,32,1,2.0,Sim
78939,32,1,2.0,Sim
78941,32,1,2.0,Sim
78942,32,1,2.0,Sim
78944,32,1,2.0,Sim
78946,32,3,2.0,Sim
78948,32,3,2.0,Sim
78950,32,3,2.0,Sim
78951,32,3,2.0,Sim
78952,32,3,2.0,Sim
78954,32,3,2.0,Não
78956,32,3,2.0,Sim
78957,32,3,2.0,Sim
78958,32,3,2.0,Sim
78959,32,3,2.0,Sim
78961,32,3,2.0,Sim
78963,32,1,2.0,Sim
78964,32,1,2.0,Sim
78965,32,1,2.0,Não
78966,32,1,2.0,Sim
78967,32,1,2.0,Sim
78968,32,1,2.0,Não
78972,32,1,2.0,Sim
78978,32,1,2.0,Sim
78981,32,1,2.0,Sim
78982,32,1,2.0,Sim
78983,32,1,2.0,Sim
78984,32,1,2.0,Sim
78985,32,1,2.0,Sim
78986,32,1,2.0,Não
78987,32,1,2.0,Sim
78991,32,1,2.0,Sim
78992,32,1,2.0,Sim
78993,32,1,2.0,Sim
78994,32,1,2.0,Sim
78997,32,1,2.0,Sim
78999,32,1,2.0,Sim
79000,32,1,2.0,Sim
79003,32,1,2.0,Sim
79006,32,1,2.0,Sim
79007,32,1,2.0,Não
79009,32,1,2.0,Sim
79010,32,1,2.0,Sim
79011,32,1,2.0,Sim
79012,32,1,2.0,Não
79013,32,1,2.0,Sim
79016,32,1,2.0,Sim
79019,32,1,2.0,Sim
79020,32,1,2.0,Sim
79023,32,1,2.0,Não
79024,32,1,2.0,Sim
79029,32,1,2.0,Sim
79031,32,1,2.0,Sim
79032,32,1,2.0,Sim
79035,32,8,2.0,Não
79036,32,8,2.0,Não
79037,32,8,2.0,Não
79046,32,1,2.0,Sim
79048,32,1,2.0,Não
79049,32,1,2.0,Não
79050,32,1,2.0,Sim
79052,32,1,2.0,Sim
79057,32,1,2.0,Sim
79061,32,1,2.0,Sim
79067,32,1,2.0,Sim
79072,32,1,2.0,Sim
79075,32,1,2.0,Sim
79077,32,1,2.0,Sim
79080,32,1,2.0,Sim
79086,32,1,2.0,Sim
79088,32,1,2.0,Sim
79099,32,1,2.0,Sim
79100,32,1,2.0,Sim
79101,32,1,2.0,Sim
79103,32,1,2.0,Sim
79105,32,1,2.0,Não
79107,32,1,2.0,Não
79108,32,1,2.0,Sim
79109,32,1,2.0,Sim
79111,32,1,2.0,Sim
79113,32,1,2.0,Sim
79114,32,1,2.0,Sim
79115,32,1,2.0,Sim
79116,32,1,2.0,Não
79118,32,1,2.0,Sim
79119,32,1,2.0,Sim
79120,32,1,2.0,Sim
79123,32,1,2.0,Sim
79125,32,1,2.0,Sim
79127,32,1,2.0,Não
79128,32,1,2.0,Sim
79129,32,1,2.0,Não
79133,32,1,2.0,Sim
79136,32,1,2.0,Sim
79138,32,1,2.0,Sim
79139,32,1,2.0,Sim
79140,32,1,2.0,Sim
79141,32,1,2.0,Sim
79143,32,1,2.0,Sim
79150,32,1,2.0,Sim
79152,32,1,2.0,Sim
79153,32,1,2.0,Sim
79155,32,1,2.0,Sim
79156,32,1,2.0,Sim
79158,32,1,2.0,Sim
79159,32,1,2.0,Sim
79160,32,1,2.0,Sim
79161,32,1,2.0,Sim
79164,32,1,2.0,Sim
79167,32,1,2.0,Sim
79169,32,1,2.0,Sim
79170,32,1,2.0,Sim
79171,32,1,2.0,Sim
79172,32,1,2.0,Não
79173,32,1,2.0,Sim
79175,32,1,2.0,Sim
79177,32,1,2.0,Sim
79178,32,1,2.0,Sim
79180,32,1,2.0,Sim
79184,32,1,2.0,Sim
79185,32,1,2.0,Sim
79187,32,1,2.0,Sim
79189,32,1,2.0,Sim
79190,32,1,2.0,Sim
79197,32,1,2.0,Sim
79198,32,1,2.0,Sim
79199,32,1,2.0,Não
79201,32,8,2.0,Sim
79208,32,8,2.0,Não
79209,32,8,2.0,Sim
79219,32,1,2.0,Sim
79223,32,1,2.0,Não
79225,32,1,2.0,Não
79226,32,1,2.0,Não
79235,32,1,2.0,Sim
79237,32,1,2.0,Sim
79241,32,1,2.0,Sim
79242,32,1,2.0,Sim
79244,32,1,2.0,Sim
79249,32,1,2.0,Não
79253,32,1,2.0,Sim
79254,32,1,2.0,Não
79257,32,1,2.0,Não
79258,32,1,2.0,Não
79259,32,1,2.0,Não
79260,32,1,2.0,Sim
79261,32,1,2.0,Não
79262,32,1,2.0,Não
79265,32,1,2.0,Não
79267,32,1,2.0,Não
79269,32,1,2.0,Sim
79270,32,1,2.0,Não
79274,32,1,2.0,Sim
79275,32,1,2.0,Sim
79281,32,1,2.0,Sim
79282,32,1,2.0,Sim
79286,32,1,2.0,Sim
79287,32,1,2.0,Não
79291,32,1,2.0,Sim
79292,32,1,2.0,Não
79295,32,1,2.0,Sim
79299,32,1,2.0,Não
79303,32,2,2.0,Não
79309,32,2,2.0,Sim
79311,32,2,2.0,Não
79316,32,2,2.0,Não
79318,32,2,2.0,Não
79323,32,1,2.0,Sim
79328,32,1,2.0,Sim
79331,32,1,2.0,Não
79332,32,1,2.0,Sim
79333,32,1,2.0,Sim
79334,32,1,2.0,Sim
79341,32,1,2.0,Não
79344,32,1,2.0,Não
79348,32,1,2.0,Não
79349,32,1,2.0,Não
79353,32,1,2.0,Não
79355,32,1,2.0,Sim
79357,32,1,2.0,Sim
79358,32,1,2.0,Sim
79360,32,1,2.0,Sim
79361,32,1,2.0,Sim
79362,32,1,2.0,Sim
79363,32,1,2.0,Sim
79364,32,1,2.0,Sim
79365,32,1,2.0,Sim
79366,32,1,2.0,Sim
79367,32,1,2.0,Sim
79370,32,1,2.0,Sim
79371,32,1,2.0,Sim
79372,32,1,2.0,Sim
79373,32,1,2.0,Sim
79378,32,1,2.0,Sim
79379,32,1,2.0,Sim
79380,32,1,2.0,Sim
79381,32,1,2.0,Não
79382,32,1,2.0,Sim
79383,32,1,2.0,Sim
79386,32,1,2.0,Sim
79388,32,1,2.0,Sim
79389,32,1,2.0,Sim
79391,32,1,2.0,Sim
79392,32,1,2.0,Não
79394,32,1,2.0,Sim
79395,32,1,2.0,Não
79396,32,1,2.0,Sim
79397,32,1,2.0,Não
79398,32,1,2.0,Não
79399,32,1,2.0,Sim
79401,32,1,2.0,Sim
79402,32,1,2.0,Não
79403,32,1,2.0,Sim
79405,32,1,2.0,Não
79407,32,1,2.0,Sim
79408,32,1,2.0,Sim
79409,32,1,2.0,Sim
79411,32,1,2.0,Não
79413,32,1,2.0,Não
79414,32,1,2.0,Não
79416,32,1,2.0,Não
79417,32,1,2.0,Não
79418,32,1,2.0,Sim
79419,32,1,2.0,Sim
79423,32,1,2.0,Sim
79426,32,1,2.0,Sim
79428,32,1,2.0,Sim
79429,32,1,2.0,Sim
79431,32,1,2.0,Sim
79433,32,1,2.0,Sim
79435,32,1,2.0,Sim
79436,32,1,2.0,Sim
79437,32,1,2.0,Sim
79438,32,1,2.0,Sim
79439,32,1,2.0,Sim
79446,32,1,2.0,Sim
79447,32,1,2.0,Sim
79448,32,1,2.0,Sim
79450,32,1,2.0,Sim
79451,32,1,2.0,Sim
79454,32,1,2.0,Sim
79456,32,1,2.0,Sim
79458,32,1,2.0,Sim
79460,32,1,2.0,Sim
79462,32,1,2.0,Sim
79463,32,1,2.0,Sim
79465,32,1,2.0,Sim
79466,32,1,2.0,Sim
79467,32,1,2.0,Sim
79469,32,1,2.0,Não
79475,32,1,2.0,Sim
79478,32,1,2.0,Sim
79479,32,1,2.0,Sim
79480,32,1,2.0,Sim
79482,32,1,2.0,Sim
79485,32,1,2.0,Sim
79487,32,1,2.0,Sim
79488,32,1,2.0,Sim
79489,32,1,2.0,Sim
79492,32,1,2.0,Sim
79493,32,1,2.0,Sim
79494,32,1,2.0,Sim
79496,32,1,2.0,Sim
79499,32,1,2.0,Sim
79500,32,1,2.0,Sim
79501,32,1,2.0,Sim
79506,32,1,2.0,Sim
79507,32,1,2.0,Sim
79508,32,1,2.0,Sim
79510,32,1,2.0,Sim
79512,32,1,2.0,Sim
79515,32,1,2.0,Sim
79518,32,1,2.0,Sim
79519,32,1,2.0,Sim
79521,32,1,2.0,Sim
79522,32,1,2.0,Sim
79524,32,1,2.0,Sim
79526,32,1,2.0,Sim
79527,32,1,2.0,Sim
79528,32,1,2.0,Sim
79529,32,1,2.0,Sim
79532,32,1,2.0,Sim
79540,32,4,2.0,Sim
79545,32,4,2.0,Sim
79550,32,1,2.0,Não
79551,32,1,2.0,Sim
79552,32,1,2.0,Sim
79554,32,1,2.0,Sim
79555,32,1,2.0,Sim
79556,32,1,2.0,Sim
79558,32,1,2.0,Sim
79560,32,1,2.0,Sim
79561,32,1,2.0,Sim
79563,32,1,2.0,Sim
79564,32,1,2.0,Sim
79565,32,1,2.0,Sim
79567,32,1,2.0,Sim
79568,32,1,2.0,Sim
79570,32,8,2.0,Sim
79571,32,8,2.0,Sim
79577,32,1,2.0,Sim
79579,32,1,2.0,Não
79581,32,1,2.0,Sim
79583,32,1,2.0,Sim
79584,32,1,2.0,Sim
79586,32,1,2.0,Não
79587,32,1,2.0,Sim
79589,32,1,2.0,Sim
79590,32,1,2.0,Sim
79593,32,1,2.0,Sim
79594,32,1,2.0,Sim
79596,32,1,2.0,Não
79599,32,1,2.0,Sim
79600,32,1,2.0,Sim
79601,32,1,2.0,Sim
79602,32,1,2.0,Sim
79603,32,1,2.0,Não
79604,32,1,2.0,Sim
79607,32,1,2.0,Não
79610,32,1,2.0,Sim
79611,32,1,2.0,Sim
79613,32,1,2.0,Sim
79614,32,1,2.0,Não
79615,32,1,2.0,Sim
79616,32,1,2.0,Não
79617,32,1,2.0,Não
79619,32,1,2.0,Não
79620,32,1,2.0,Não
79621,32,1,2.0,Não
79622,32,1,2.0,Sim
79623,32,1,2.0,Sim
79624,32,1,2.0,Sim
79625,32,1,2.0,Sim
79626,32,1,2.0,Sim
79628,32,1,2.0,Sim
79632,32,1,2.0,Sim
79633,32,1,2.0,Não
79634,32,1,2.0,Sim
79636,32,1,2.0,Não
79638,32,1,2.0,Não
79639,32,1,2.0,Sim
79640,32,1,2.0,Não
79641,32,1,2.0,Sim
79642,32,1,2.0,Sim
79643,32,1,2.0,Sim
79644,32,1,2.0,Sim
79647,32,1,2.0,Sim
79649,32,1,2.0,Sim
79651,32,1,2.0,Sim
79655,32,1,2.0,Sim
79657,32,1,2.0,Sim
79668,32,8,2.0,Sim
79670,32,8,2.0,Sim
79671,32,8,2.0,Sim
79673,32,8,2.0,Sim
79679,32,1,2.0,Não
79683,32,1,2.0,Não
79687,32,1,2.0,Sim
79691,32,1,2.0,Sim
79692,32,1,2.0,Sim
79694,32,1,2.0,Sim
79700,32,8,2.0,Sim
79706,32,8,2.0,Não
79708,32,8,2.0,Sim
79709,32,8,2.0,Sim
79717,32,8,2.0,Sim
79718,32,8,2.0,Sim
79730,32,8,2.0,Sim
79732,32,8,2.0,Sim
79742,32,1,2.0,Sim
79744,32,1,2.0,Sim
79745,32,1,2.0,Sim
79746,32,1,2.0,Sim
79749,32,1,2.0,Sim
79750,32,1,2.0,Sim
79752,32,1,2.0,Sim
79753,32,1,2.0,Não
79758,32,1,2.0,Sim
79759,32,1,2.0,Não
79763,32,1,2.0,Sim
79765,32,1,2.0,Não
79766,32,1,2.0,Não
79767,32,1,2.0,Não
79769,32,1,2.0,Não
79771,32,1,2.0,Não
79772,32,1,2.0,Não
79773,32,1,2.0,Não
79774,32,1,2.0,Sim
79775,32,1,2.0,Não
79776,32,1,2.0,Não
79777,32,1,2.0,Não
79780,32,1,2.0,Não
79782,32,1,2.0,Não
79783,32,1,2.0,Não
79786,32,1,2.0,Não
79787,32,1,2.0,Não
79788,32,1,2.0,Não
79789,32,1,2.0,Sim
79792,32,1,2.0,Não
79793,32,1,2.0,Não
79795,32,1,2.0,Não
79799,32,1,2.0,Não
79800,32,1,2.0,Não
79807,32,1,2.0,Sim
79808,32,1,2.0,Sim
79809,32,1,2.0,Sim
79810,32,1,2.0,Não
79814,32,1,2.0,Não
79818,32,1,2.0,Não
79830,32,8,2.0,Sim
79835,32,1,2.0,Não
79836,32,1,2.0,Não
79848,32,1,2.0,Sim
79853,32,1,2.0,Sim
79854,32,1,2.0,Sim
79856,32,1,2.0,Não
79857,32,1,2.0,Não
79858,32,1,2.0,Sim
79860,32,1,2.0,Sim
79864,32,1,2.0,Sim
79870,32,1,2.0,Sim
79874,32,1,2.0,Sim
79876,32,1,2.0,Sim
79877,32,1,2.0,Sim
79879,32,1,2.0,Sim
79880,32,1,2.0,Sim
79886,32,1,2.0,Não
79891,32,1,2.0,Sim
79916,32,1,2.0,Sim
79918,32,1,2.0,Sim
79919,32,1,2.0,Sim
79920,32,1,2.0,Não
79921,32,1,2.0,Não
79923,32,1,2.0,Sim
79924,32,1,2.0,Sim
79925,32,1,2.0,Sim
79926,32,1,2.0,Sim
79927,32,1,2.0,Sim
79930,32,1,2.0,Sim
79965,32,1,2.0,Não
79974,32,1,2.0,Sim
79975,32,1,2.0,Sim
79979,32,1,2.0,Sim
79981,32,1,2.0,Sim
79984,32,1,2.0,Sim
79986,32,1,2.0,Sim
79990,32,1,2.0,Sim
79993,32,1,2.0,Sim
79996,32,1,2.0,Não
79997,32,1,2.0,Sim
79998,32,1,2.0,Sim
79999,32,1,2.0,Sim
80000,32,1,2.0,Não
80002,32,1,2.0,Sim
80004,32,1,2.0,Sim
80005,32,1,2.0,Sim
80007,32,1,2.0,Sim
80008,32,1,2.0,Sim
80011,32,1,2.0,Sim
80012,32,1,2.0,Sim
80016,32,1,2.0,Não
80017,32,1,2.0,Não
80019,32,1,2.0,Sim
80020,32,1,2.0,Sim
80021,32,1,2.0,Sim
80022,32,1,2.0,Sim
80024,32,1,2.0,Sim
80025,32,1,2.0,Sim
80028,32,1,2.0,Não
80029,32,1,2.0,Não
80030,32,1,2.0,Sim
80034,32,3,2.0,Não
80035,32,3,2.0,Não
80036,32,3,2.0,Sim
80040,32,3,2.0,Sim
80041,32,3,2.0,Sim
80042,32,3,2.0,Não
80043,32,3,2.0,Sim
80045,32,3,2.0,Não
80046,32,3,2.0,Sim
80049,32,3,2.0,Sim
80051,32,8,2.0,Não
80053,32,8,2.0,Sim
80054,32,8,2.0,Sim
80060,32,8,2.0,Sim
80063,32,1,2.0,Não
80064,32,1,2.0,Não
80065,32,1,2.0,Não
80066,32,1,2.0,Sim
80067,32,1,2.0,Sim
80068,32,1,2.0,Sim
80069,32,1,2.0,Sim
80070,32,1,2.0,Não
80079,32,1,2.0,Sim
80082,32,1,2.0,Não
80083,32,1,2.0,Sim
80084,32,1,2.0,Sim
80088,32,1,2.0,Sim
80090,32,1,2.0,Não
80092,32,1,2.0,Sim
80094,32,1,2.0,Sim
80096,32,1,2.0,Sim
80097,32,1,2.0,Não
80099,32,1,2.0,Sim
80100,32,1,2.0,Sim
80101,32,1,2.0,Sim
80102,32,1,2.0,Não
80103,32,1,2.0,Não
80105,32,1,2.0,Sim
80106,32,1,2.0,Sim
80107,32,1,2.0,Sim
80109,32,1,2.0,Sim
80110,32,1,2.0,Sim
80112,32,1,2.0,Sim
80114,32,1,2.0,Não
80115,32,1,2.0,Sim
80116,32,1,2.0,Não
80117,32,1,2.0,Sim
80118,32,1,2.0,Sim
80119,32,1,2.0,Sim
80120,32,1,2.0,Sim
80123,32,1,2.0,Sim
80125,32,1,2.0,Sim
80128,32,1,2.0,Sim
80129,32,1,2.0,Sim
80132,32,1,2.0,Sim
80135,32,1,2.0,Não
80137,32,1,2.0,Não
80138,32,1,2.0,Sim
80140,32,1,2.0,Sim
80141,32,1,2.0,Sim
80145,32,1,2.0,Não
80146,32,1,2.0,Sim
80147,32,1,2.0,Sim
80149,32,1,2.0,Sim
80152,32,1,2.0,Sim
80153,32,1,2.0,Sim
80154,32,1,2.0,Sim
80157,32,1,2.0,Sim
80158,32,1,2.0,Sim
80159,32,1,2.0,Sim
80161,32,1,2.0,Sim
80162,32,1,2.0,Sim
80167,32,8,2.0,Sim
80170,32,8,2.0,Sim
80172,32,8,2.0,Sim
80175,32,8,2.0,Não
80176,32,8,2.0,Sim
80179,32,1,2.0,Sim
80180,32,1,2.0,Sim
80183,32,1,2.0,Sim
80186,32,1,2.0,Sim
80191,32,1,2.0,Sim
80192,32,1,2.0,Sim
80194,32,1,2.0,Sim
80196,32,1,2.0,Sim
80197,32,1,2.0,Sim
80198,32,1,2.0,Sim
80200,32,1,2.0,Não
80201,32,1,2.0,Sim
80202,32,1,2.0,Sim
80208,32,1,2.0,Sim
80211,32,8,2.0,Sim
80214,32,8,2.0,Sim
80237,32,1,2.0,Sim
80253,32,8,2.0,Sim
80258,32,1,2.0,Não
80260,32,1,2.0,Sim
80263,32,1,2.0,Sim
80264,32,1,2.0,Sim
80266,32,1,2.0,Não
80268,32,1,2.0,Sim
80269,32,1,2.0,Sim
80270,32,1,2.0,Sim
80273,32,1,2.0,Sim
80278,32,1,2.0,Sim
80282,32,1,2.0,Sim
80284,32,1,2.0,Sim
80286,32,1,2.0,Sim
80290,32,1,2.0,Sim
