,Estado,Acesso a internet em casa,Acesso através de 3g ou 4g,Acesso por banda larga,Acesso por microcomputador,Acesso por celular,Número de TV de tela fina,Número de TV de tubo,Tem TV por assinatura,Tem TV por sinal aberto
71613,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71621,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
71622,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
71624,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
71627,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71629,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
71633,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
71634,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71637,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71638,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
71639,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71640,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71641,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
71658,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71665,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
71668,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
71669,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71670,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
71673,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0
71674,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71675,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
71678,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,3.0
71680,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0
71682,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
71683,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,5.0
71684,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71685,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
71689,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71690,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0
71691,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71692,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0
71696,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
71697,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71698,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
71700,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
71724,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
71730,31,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0
71731,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
71732,31,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0
71734,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71735,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0
71736,31,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0
71737,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0
71738,31,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,1.0
71744,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
71745,31,2.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0
71746,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0
71748,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
71750,31,2.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,3.0
71751,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0
71752,31,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0
71753,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
71754,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
71756,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
71759,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
71762,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
71763,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0
71766,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,3.0
71767,31,2.0,2.0,4.0,4.0,2.0,0.0,3.0,1.0,3.0
71768,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71771,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71773,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
71802,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0
71803,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
71804,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
71805,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0
71808,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71809,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
71812,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
71814,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71815,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71816,31,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0
71818,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71819,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0
71822,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71825,31,2.0,4.0,2.0,2.0,4.0,4.0,0.0,1.0,1.0
71827,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
71828,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
71829,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
71834,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
71836,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71839,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
71843,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
71847,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71848,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71853,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
71854,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
71856,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
71857,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
71860,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
71862,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
71863,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
71864,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
71866,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0
71873,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0
71874,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
71883,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0
71886,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71889,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
71894,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0
71897,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71898,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
71900,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
71901,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
71903,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
71906,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0
71907,31,2.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
71909,31,2.0,2.0,4.0,2.0,4.0,2.0,0.0,3.0,1.0
71915,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
71917,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
71922,31,2.0,4.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0
71924,31,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,1.0
71925,31,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0
71927,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
71928,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
71932,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,3.0,3.0
71933,31,2.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
71934,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71935,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
71936,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71938,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
71940,31,2.0,4.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
71946,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
71952,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
71954,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,3.0,1.0
71956,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
71959,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0
71960,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
71961,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71962,31,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
71969,31,2.0,4.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0
71971,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
71977,31,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0
71979,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
71980,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
71986,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0
71988,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
71991,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
71995,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,1.0,3.0
71999,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72004,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0
72007,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,5.0
72008,31,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0
72011,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
72012,31,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,5.0
72013,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0
72016,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
72026,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,5.0
72032,31,2.0,2.0,4.0,2.0,4.0,0.0,3.0,1.0,3.0
72036,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72043,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72044,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,3.0,1.0
72048,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72050,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72053,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
72054,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72056,31,2.0,4.0,4.0,2.0,4.0,0.0,4.0,1.0,3.0
72057,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
72059,31,2.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0
72060,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
72061,31,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72065,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72066,31,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
72072,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72073,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72074,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72077,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0
72078,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72079,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0
72081,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
72085,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0
72086,31,2.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0
72088,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72097,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72100,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0
72102,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
72105,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,1.0
72106,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72112,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
72113,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
72114,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72118,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72121,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72122,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0
72124,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72129,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0
72131,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0
72138,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
72141,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72142,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72151,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0
72152,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72155,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
72159,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
72160,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
72161,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72162,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72163,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72188,31,2.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0
72189,31,2.0,4.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
72194,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72216,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0
72217,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72222,31,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
72223,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72224,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72225,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72226,31,2.0,4.0,2.0,4.0,2.0,0.0,2.0,3.0,3.0
72229,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
72236,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72238,31,2.0,2.0,4.0,2.0,4.0,2.0,0.0,3.0,1.0
72250,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72252,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72253,31,2.0,4.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0
72263,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72285,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72295,31,2.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0
72297,31,2.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0
72300,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,3.0
72315,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,5.0
72317,31,2.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0
72319,31,2.0,4.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0
72320,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
72321,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72324,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
72325,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,5.0
72326,31,2.0,4.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
72329,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
72330,31,2.0,4.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72331,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72332,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0
72334,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0
72335,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72336,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
72341,31,2.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,3.0
72343,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72345,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
72346,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
72347,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
72348,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72350,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
72352,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72355,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72357,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72358,31,2.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0
72361,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0
72362,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
72363,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0
72366,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
72367,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72369,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
72370,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72372,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72373,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
72376,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72377,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72381,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72383,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72385,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
72387,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0
72388,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72389,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,5.0
72391,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72393,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72395,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
72399,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
72400,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
72401,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72402,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72403,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
72404,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
72406,31,2.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0
72408,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0
72409,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0
72410,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0
72411,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72416,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
72417,31,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
72420,31,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0
72421,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72422,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72423,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72424,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
72425,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72426,31,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0
72427,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72428,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72429,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
72432,31,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
72433,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
72434,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
72437,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72438,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
72439,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72440,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72442,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72443,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72445,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0
72447,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0
72448,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72449,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72453,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72457,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72461,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0
72463,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
72465,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72469,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72471,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
72473,31,2.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0
72474,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72476,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
72479,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0
72480,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72481,31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
72482,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72483,31,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
72484,31,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
72485,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72486,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
72487,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
72489,31,2.0,4.0,2.0,2.0,4.0,0.0,7.0,1.0,3.0
72490,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0
72491,31,2.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0
72492,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
72494,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
72495,31,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
72496,31,2.0,2.0,4.0,2.0,4.0,0.0,1.0,3.0,3.0
72499,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
72501,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
72502,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
72505,31,2.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0
72508,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
72513,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,3.0,1.0
72516,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72517,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,3.0
72519,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
72520,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
72523,31,2.0,2.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0
