,Estado,Acesso a internet em casa,Acesso através de 3g ou 4g,Acesso por banda larga,Acesso por microcomputador,Acesso por celular,Número de TV de tela fina,Número de TV de tubo,Tem TV por assinatura,Tem TV por sinal aberto
64106,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
64107,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0
64119,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64145,31,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
64146,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64148,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64157,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64166,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64175,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0
64176,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,3.0,1.0
64179,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64182,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
64183,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64187,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
64190,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64191,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64193,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
64195,31,2.0,2.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0
64196,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
64201,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
64204,31,2.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,1.0
64207,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
64211,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,5.0
64213,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
64217,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
64219,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64221,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64222,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64224,31,2.0,2.0,4.0,2.0,4.0,0.0,3.0,3.0,3.0
64227,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0
64230,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64231,31,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0
64256,31,2.0,4.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0
64258,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64261,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0
64262,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64263,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64264,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0
64265,31,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0
64266,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
64269,31,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
64273,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,5.0
64274,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64275,31,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
64276,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,5.0
64277,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64279,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0
64280,31,2.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0,1.0
64281,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,5.0
64285,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
64289,31,2.0,2.0,4.0,4.0,2.0,1.0,0.0,3.0,3.0
64290,31,2.0,2.0,4.0,4.0,2.0,2.0,0.0,3.0,1.0
64291,31,2.0,2.0,4.0,2.0,2.0,0.0,4.0,3.0,3.0
64292,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0
64293,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0
64295,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,3.0
64297,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
64298,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0
64299,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64301,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64303,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
64304,31,2.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0
64306,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64307,31,2.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0
64308,31,2.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0,5.0
64309,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64310,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64311,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,3.0
64312,31,2.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,3.0
64314,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0
64315,31,2.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0
64316,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
64317,31,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0
64320,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0
64322,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
64323,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64324,31,2.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0
64325,31,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
64326,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0
64328,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0
64329,31,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0
64330,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64334,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0
64335,31,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0
64336,31,2.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0
64337,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0
64339,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0
64340,31,2.0,2.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
64341,31,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0
64342,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
64345,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
64349,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
64351,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
